                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.6602,                0.43917,                0.85399,                0.83961,                0.76114,                0.83489,                0.65606,                0.84662,                0.59714,                0.91588,               0.000307,               0.000307,               0.000307
                     72,                0.67947,                0.44942,                0.86194,                 0.8385,                0.77775,                0.81883,                0.64557,                0.84929,                0.63338,                0.91402,              0.0002971,              0.0002971,              0.0002971
                     73,                0.68423,                0.46538,                0.85904,                0.81383,                0.85587,                0.86709,                0.68742,                0.85627,                 0.5916,                0.91423,              0.0002872,              0.0002872,              0.0002872
                     74,                0.67693,                 0.4464,                0.85485,                0.81327,                0.82668,                0.85479,                0.67495,                0.85812,                 0.5642,                0.92075,              0.0002773,              0.0002773,              0.0002773
                     75,                0.67099,                0.45377,                0.86062,                0.77747,                0.79681,                0.81172,                0.63868,                0.83978,                0.60618,                0.91059,              0.0002674,              0.0002674,              0.0002674
                     76,                0.70004,                0.50375,                0.87163,                0.79675,                0.80182,                 0.8086,                0.63865,                0.85609,                0.60447,                0.91876,              0.0002575,              0.0002575,              0.0002575
                     77,                0.66978,                0.44203,                0.85228,                0.85154,                 0.7409,                0.81383,                0.63182,                0.83837,                0.61703,                 0.9135,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.6548,                0.43732,                0.85256,                0.85855,                0.76819,                0.82094,                0.64854,                0.83107,                0.59486,                0.91139,              0.0002377,              0.0002377,              0.0002377
                     79,                0.65509,                0.43507,                0.85287,                0.83027,                 0.7803,                0.80686,                0.62575,                0.83564,                0.60885,                0.91175,              0.0002278,              0.0002278,              0.0002278
                     80,                0.65535,                0.43103,                0.85412,                0.79368,                0.74299,                0.79731,                0.62409,                0.83319,                0.61221,                0.90981,              0.0002179,              0.0002179,              0.0002179
                     81,                0.65957,                0.43335,                0.85547,                 0.8048,                0.80022,                0.82593,                0.65184,                0.82668,                0.58902,                0.91016,               0.000208,               0.000208,               0.000208
                     82,                0.66583,                0.44092,                0.85822,                0.80163,                0.80305,                0.81406,                0.63827,                0.83446,                 0.5973,                 0.9105,              0.0001981,              0.0001981,              0.0001981
                     83,                0.65387,                 0.4419,                 0.8528,                0.79434,                0.75984,                  0.804,                0.63617,                0.82614,                0.61598,                 0.9118,              0.0001882,              0.0001882,              0.0001882
                     84,                0.64193,                 0.4161,                0.84749,                0.74504,                0.77405,                0.78145,                0.61262,                0.82789,                0.59851,                0.91019,              0.0001783,              0.0001783,              0.0001783
                     85,                0.64115,                0.41473,                0.83668,                0.75336,                0.79833,                0.80932,                0.63517,                0.83383,                0.59848,                0.91164,              0.0001684,              0.0001684,              0.0001684
                     86,                0.64195,                0.41186,                0.85563,                0.78431,                0.82057,                0.83372,                0.65119,                0.82984,                0.57078,                0.91486,              0.0001585,              0.0001585,              0.0001585
                     87,                0.63887,                0.40906,                0.84559,                0.83437,                0.78236,                0.82064,                 0.6448,                0.83357,                0.57553,                0.91618,              0.0001486,              0.0001486,              0.0001486
                     88,                0.62702,                0.39647,                0.84254,                0.78493,                0.84769,                0.83262,                 0.6609,                0.83347,                0.57226,                0.91411,              0.0001387,              0.0001387,              0.0001387
                     89,                0.62461,                0.39687,                0.85082,                 0.7621,                0.86856,                0.83944,                0.66705,                 0.8379,                0.56891,                0.91406,              0.0001288,              0.0001288,              0.0001288
                     90,                0.63013,                0.40967,                0.84216,                0.78776,                0.81375,                 0.8397,                0.66405,                0.84844,                0.57879,                0.91779,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.5931,                0.38021,                0.84618,                0.79024,                0.84841,                0.83852,                0.65935,                0.83958,                 0.5863,                0.91435,               0.000109,               0.000109,               0.000109
                     92,                0.59928,                0.36706,                0.84978,                0.78945,                 0.8661,                0.83902,                0.66778,                0.81826,                0.57213,                 0.9099,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.59559,                0.35546,                0.83847,                0.80371,                0.84486,                 0.8498,                0.67356,                0.83128,                0.57653,                0.91232,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.58563,                0.35801,                 0.8414,                0.80825,                0.83019,                0.82807,                0.65059,                0.83136,                0.58545,                0.91099,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 0.5802,                0.35612,                0.84475,                0.82547,                0.79198,                0.83169,                0.65593,                0.82522,                0.58322,                0.90932,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.57155,                0.34423,                0.84557,                0.84172,                0.79148,                0.83299,                0.65793,                0.82663,                0.59205,                0.91021,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.56637,                0.34665,                0.83461,                0.81315,                0.80288,                0.83188,                0.65536,                0.83006,                0.58868,                0.91121,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.56047,                 0.3451,                0.83782,                0.77667,                0.82683,                0.82138,                0.64483,                0.83166,                0.59065,                0.91368,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.56046,                0.33839,                0.82816,                0.77519,                0.84354,                0.82725,                0.65053,                0.83011,                0.58587,                0.91279,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.55937,                0.34738,                0.83938,                0.78209,                0.84223,                0.82916,                0.64811,                0.83039,                0.58022,                 0.9121,               1.99e-05,               1.99e-05,               1.99e-05
